Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Higher Than Expected Association of Clinical Prostate and Bladder Cancers,Singh A.; Kinoshita Y.; Rovito Jr. P.M.; Landas S.; Silberstein J.; Nsouli I.; Wang C.Y.; Haas G.P. ,"Purpose: In this study we evaluated the risk of a second malignancy of the bladder or prostate in patients with a previous diagnosis of prostate cancer (PCa) or urothelial cancer (TCC). Material(s) and Method(s): We retrospectively analyzed all cases of PCa and TCC diagnosed between January 1996 and June 2003. Only PCa diagnosed due to abnormal digital rectal examination or increased prostate specific antigen were included. All patients with TCC presented with hematuria or irritative voiding symptoms and the diagnoses were confirmed with a tissue diagnosis. The incidence of lung, colon and renal cancers was also analyzed. Result(s): A total of 816 men were diagnosed with PCa and/or TCC. Of 673 men initially diagnosed with PCa 21 had TCC. Of 149 men initially diagnosed with TCC 18 had PCa. Average age at PCa and TCC diagnosis +/- SD was 68.2 +/- 7.9 and 68.2 +/- 10.4 years, respectively. The standardized incidence ratio (SIR) of TCC in patients with PCa (SIR 4.31, 95% CI 2.411 to 7.110) and of PCa in patients with TCC (SIR 3.83, 95% CI 1.911 to 6.858) was significantly increased. There was no statistical significant difference in SIR for TCC in men with or without radiotherapy. SIR for lung, renal or colon cancer was not significantly different from what was expected. Conclusion(s): Patients with PCa have higher incidence of bladder cancer and those with bladder cancer have a higher incidence of PCa. This study has clinical implications in the care of these patients and it may stimulate research interest that may identify common pathways of carcinogenesis. © 2008 American Urological Association.",2008,/,Journal of Urology,179,5 SUPPL.,S2-S5,,https://dx.doi.org/10.1016/j.juro.2008.03.130,351483910,#5231,Singh 2008,,
Second primary cancer after radiotherapy for prostate cancer--a seer analysis of brachytherapy versus external beam radiotherapy.,"Abdel-Wahab, May; Reis, Isildinha M; Hamilton, Kara","PURPOSE: To determine the incidence of second primary cancers (SPCs) and radiotherapy-induced SPCs (RTSPCs)., PATIENTS AND METHODS: The incidence of SPCs and RTSPCs was compared among four treatment groups with locoregional prostate adenocarcinoma in the 1973-2002 Surveillance, Epidemiology, and End Results database. These groups were no radiotherapy (RT), no surgery (Group 1); external beam RT (EBRT) (Group 2); brachytherapy (Group 3); and a combination of EBRT and brachytherapy (Group 4)., RESULTS: The age-adjusted estimates of SPCs were greater with EBRT than with brachytherapy (2,178 vs. 1,901 SPCs/100,000; p = 0.025) or with the no RT, no surgery group (1,971 SPCs/100,000; p <0.0001). The age-adjusted rate of late SPC (>or=5 years) for EBRT (2,425 SPCs/100,000) was only significantly greater (p <0.0001) than that for no RT, no surgery (1,950 SPCs/100,000). The hazard ratio adjusted for age, race/ethnicity, and grade was constant at 1.263 for EBRT compared with no RT, no surgery (p <0.0001) but varied with the length of follow-up in both the brachytherapy (0.721 at 5 years to 1.200 at 9 years) and combination (0.920 at 5 years to 1.317 at 9 years) groups. The incidence of RTSPCs was only significantly different between the no RT, no surgery group and the EBRT group, with an increase of 162 cases/100,000 or a 0.16% increased SPC risk (p = 0.023). No significant differences in the incidence of RTSPC were seen between the RT groups., CONCLUSION: No significant differences were seen in the incidence of RTSPCs between the RT groups. The initial smaller relative risk of overall SPCs in the brachytherapy group increased with time until the curves converged, suggesting that the effect had resulted from patient selection bias.",2008,/,"International journal of radiation oncology, biology, physics",72,1,58-68,,https://dx.doi.org/10.1016/j.ijrobp.2007.12.043,18374503,#3054,Abdel-Wahab 2008,,
The characteristics of bladder cancer after radiotherapy for prostate cancer.,"Abern, Michael R; Dude, Annie M; Tsivian, Matvey; Coogan, Christopher L","OBJECTIVES: Prostate radiotherapy (RT) has been associated with an increased risk of bladder cancer (CaB). However it is unknown how prior RT affects the stage, grade, and histology of secondary CaB. While irradiated patients have adverse surgical outcomes, how RT affects survival is also unknown. We sought to determine how RT for prostate cancer (CaP) affects the characteristics and outcomes of secondary CaB., MATERIALS AND METHODS: A retrospective review of 275,200 cases of clinically localized CaP submitted to the Surveillance, Epidemiology, and End Results (SEER) database between 1988 and 2007 was performed. CaP treatment was stratified by radical prostatectomy (RP) alone, RT, or RP + RT. Diagnosis of CaB at least 1 year after CaP, and CaB death were the primary outcomes. The stage, grade, and histology of CaB of patients exposed to RT or RP were compared. A competing risks multivariable survival analysis was performed to determine the effect of RT on CaB-specific mortality., RESULTS: CaP patients treated with any RT were 1.70 times as likely to develop CaB (95% CI 1.57-1.86, P < 0.001) compared with RP alone. CaB in men who had RT were more likely non-urothelial (6.4% vs. 3.8%, P = 0.004), trigonal (6.9% vs. 5.4%, P = 0.012), and carcinoma in-situ (CIS) (9.2% vs. 7.0%, P < 0.001) compared with RP. RT increased CaB-specific mortality (HR = 1.30, P = 0.02), which remained significant when adjusted for CaB features (HR = 1.28, P = 0.05)., CONCLUSIONS: Patients with localized CaP treated with RT have a higher risk of CaB. CaB after RT is more likely to be located at the trigone and contain CIS. Patients with CaB after RT have decreased cancer-specific survival compared with those undergoing RP alone. Copyright © 2013 Elsevier Inc. All rights reserved.",2013,/,Urologic oncology,31,8,1628-34,,https://dx.doi.org/10.1016/j.urolonc.2012.04.006,22575239,#2839,Abern 2013,,
Increased risk of rectal cancer after prostate radiation: a population-based study.,"Baxter, Nancy N; Tepper, Joel E; Durham, Sara B; Rothenberger, David A; Virnig, Beth A","BACKGROUND & AIMS: Radiation therapy for prostate cancer has been associated with an increased rate of pelvic malignancies, particularly bladder cancer. The association between radiation therapy and colorectal cancer has not been established., METHODS: We conducted a retrospective cohort study using Surveillance, Epidemiology, and End Results (SEER) registry data from 1973 through 1994. We focused on men with prostate cancer, but with no previous history of colorectal cancer, treated with either surgery or radiation who survived at least 5 years. We evaluated the effect of radiation on development of cancer for 3 sites: definitely irradiated sites (rectum), potentially irradiated sites (rectosigmoid, sigmoid, and cecum), and nonirradiated sites (the rest of the colon). Using a proportional hazards model, we evaluated the effect of radiation on development of colorectal cancer over time., RESULTS: A total of 30,552 men received radiation, and 55,263 underwent surgery only. Colorectal cancers developed in 1437 patients: 267 in irradiated sites, 686 in potentially irradiated sites, and 484 in nonirradiated sites. Radiation was independently associated with development of cancer over time in irradiated sites but not in the remainder of the colon. The adjusted hazards ratio for development of rectal cancer was 1.7 for the radiation group, compared with the surgery-only group (95% CI: 1.4-2.2)., CONCLUSIONS: We noted a significant increase in development of rectal cancer after radiation for prostate cancer. Radiation had no effect on development of cancer in the remainder of the colon, indicating that the effect is specific to directly irradiated tissue.",2005,/,Gastroenterology,128,4,819-24,,,15825064,#5754,Baxter 2005,,
Proportion of second cancers attributable to radiotherapy treatment in adults: a cohort study in the US SEER cancer registries.,"Berrington de Gonzalez, Amy; Curtis, Rochelle E; Kry, Stephen F; Gilbert, Ethel; Lamart, Stephanie; Berg, Christine D; Stovall, Marilyn; Ron, Elaine","BACKGROUND: Improvements in cancer survival have made the long-term risks from treatments more important, including the risk of developing a second cancer after radiotherapy. We aimed to estimate the proportion of second cancers attributable to radiotherapy in adults with data from the US Surveillance, Epidemiology and End Results (SEER) cancer registries., METHODS: We used nine of the SEER registries to systematically analyse 15 cancer sites that are routinely treated with radiotherapy (oral and pharynx, salivary gland, rectum, anus, larynx, lung, soft tissue, female breast, cervix, endometrial, prostate, testes, eye and orbit, brain and CNS, and thyroid). The cohort we studied was composed of patients aged 20 years or older who were diagnosed with a first primary invasive solid cancer reported in the SEER registries between Jan 1, 1973, and Dec 31, 2002. Relative risks (RRs) for second cancer in patients treated with radiotherapy versus patients not treated with radiotherapy were estimated with Poisson regression adjusted for age, stage, and other potential confounders., FINDINGS: 647,672 cancer patients who were 5-year survivors were followed up for a mean 12 years (SD 4.5, range 5-34); 60,271 (9%) developed a second solid cancer. For each of the first cancer sites the RR of developing a second cancer associated with radiotherapy exceeded 1, and varied from 1.08 (95% CI 0.79-1.46) after cancers of the eye and orbit to 1.43 (1.13-1.84) after cancer of the testes. In general, the RR was highest for organs that typically received greater than 5 Gy, decreased with increasing age at diagnosis, and increased with time since diagnosis. We estimated a total of 3266 (2862-3670) excess second solid cancers that could be related to radiotherapy, that is 8% (7-9) of the total in all radiotherapy patients (>=1 year survivors) and five excess cancers per 1000 patients treated with radiotherapy by 15 years after diagnosis., INTERPRETATION: A relatively small proportion of second cancers are related to radiotherapy in adults, suggesting that most are due to other factors, such as lifestyle or genetics., FUNDING: US National Cancer Institute. Copyright © 2011 Elsevier Ltd. All rights reserved.",2011,/,The Lancet. Oncology,12,4,353-60,,https://dx.doi.org/10.1016/S1470-2045(11)70061-4,21454129,#2916,BerringtondeGonzalez 2011,,
"The rate of secondary malignancies after radical prostatectomy versus external beam radiation therapy for localized prostate cancer: a population-based study on 17,845 patients.","Bhojani, Naeem; Capitanio, Umberto; Suardi, Nazareno; Jeldres, Claudio; Isbarn, Hendrik; Shariat, Shahrokh F; Graefen, Markus; Arjane, Philippe; Duclos, Alain; Lattouf, Jean-Baptiste; Saad, Fred; Valiquette, Luc; Montorsi, Francesco; Perrotte, Paul; Karakiewicz, Pierre I","PURPOSE: External-beam radiation therapy (EBRT) may predispose to secondary malignancies that include bladder cancer (BCa), rectal cancer (RCa), and lung cancer (LCa). We tested this hypothesis in a large French Canadian population-based cohort of prostate cancer patients., METHODS AND MATERIALS: Overall, 8,455 radical prostatectomy (RP) and 9,390 EBRT patients treated between 1983 and 2003 were assessed with Kaplan-Meier and Cox regression analyses. Three endpoints were examined: (1) diagnosis of secondary BCa, (2) LCa, or (3) RCa. Covariates included age, Charlson comorbidity index, and year of treatment., RESULTS: In multivariable analyses that relied on incident cases diagnosed 60 months or later after RP or EBRT, the rates of BCa (hazard ratio [HR], 1.4; p = 0.02), LCa (HR, 2.0; p = 0.004), and RCa (HR 2.1; p <0.001) were significantly higher in the EBRT group. When incident cases diagnosed 120 months or later after RP or EBRT were considered, only the rates of RCa (hazard ratio 2.2; p = 0.003) were significantly higher in the EBRT group. In both analyses, the absolute differences in incident rates ranged from 0.7 to 5.2% and the number needed to harm (where harm equaled secondary malignancies) ranged from 111 to 19, if EBRT was used instead of RP., CONCLUSIONS: EBRT may predispose to clinically meaningfully higher rates of secondary BCa, LCa and RCa. These rates should be included in informed consent consideration. Crown Copyright 2010. Published by Elsevier Inc. All rights reserved.",2010,/,"International journal of radiation oncology, biology, physics",76,2,342-8,,https://dx.doi.org/10.1016/j.ijrobp.2009.02.011,20117287,#2965,Bhojani 2010,,
Bladder cancer incidence and risk factors in men with prostate cancer: results from Cancer of the Prostate Strategic Urologic Research Endeavor.,"Boorjian, Stephen; Cowan, Janet E; Konety, Badrinath R; DuChane, Janeen; Tewari, Ashutosh; Carroll, Peter R; Kane, Christopher J","PURPOSE: We evaluated a large disease registry to determine the incidence of bladder cancer in patients with prostate cancer and investigate whether the type of treatment for prostate cancer increased the risk of bladder cancer., MATERIALS AND METHODS: We analyzed the CaPSURE disease registry for men diagnosed with prostate cancer plus bladder cancer between 1989 and 2003. Demographics, comorbidities and prostate cancer treatment modalities were compared in patients with and without bladder cancer. A backward stepwise Cox proportional hazards regression model was used to predict bladder cancer onset after treatment for prostate cancer in patients who had bladder cancer 30 days or greater after prostate cancer treatment., RESULTS: Of 9,780 patients from CaPSURE 143 (1.46%) also had bladder cancer. Patients with bladder cancer and prostate cancer were older (p<0.01) and more likely to be white (p=0.03), and they had lower levels of income (p<0.01) and education (p=0.04) than patients with prostate cancer only. Comorbidities did not differ between patients with and without bladder cancer. Patients treated with radical prostatectomy were approximately half as likely to have posttreatment bladder cancer as patients who underwent radiation therapy (HR 0.51, 95% CI 0.29-0.89). Patients who smoked had an independent increase in the risk of bladder cancer (HR 2.08, 95% CI 1.09-3.97), while smokers treated with radiation therapy were at almost 4-fold risk for bladder cancer (HR 3.65, 95% CI 1.45-9.16)., CONCLUSIONS: The incidence of bladder cancer in patients with prostate cancer was 1.5%. Radiation therapy and smoking increased the risk of bladder cancer.",2007,/,The Journal of urology,177,3,883-8,,,17296367,#5753,Boorjian 2007,,
Second malignancies in prostate carcinoma patients after radiotherapy compared with surgery.,"Brenner, D J; Curtis, R E; Hall, E J; Ron, E","BACKGROUND: In the treatment of prostate carcinoma, radiotherapy and surgery are common choices of comparable efficacy; thus a realistic comparison of the potential long term sequelae, such as the risk of second malignancy, may be of relevance to treatment choice., METHODS: Data regarding the rate of incidence from the Surveillance, Epidemiology, and End Results Program cancer registry (1973-1993) were used to compare directly second malignancy risks in 51,584 men with prostate carcinoma who received radiotherapy (3549 of whom developed second malignancies) with 70,539 men who underwent surgery without radiotherapy (5055 of whom developed second malignancies). Data were stratified by latency period, age at diagnosis, and site of the second malignancy. Directly comparing the risks in the radiotherapy group with those in the surgery group largely avoids problems associated with underreporting second malignancies., RESULTS: Radiotherapy for prostate carcinoma was associated with a small, statistically significant increase in the risk of solid tumors (6%; P = 0.02) relative to treatment with surgery. Among patients who survived for >/= 5 years, the increased relative risk reached 15%, and was 34% for patients surviving >/= 10 years. The most significant contributors to the increased risk in the irradiated group were carcinomas of the bladder, rectum, and lung, and sarcomas within the treatment field. No significant increase in rates of leukemia was noted., CONCLUSIONS: Radiotherapy for prostate carcinoma was associated with a statistically significant, although fairly small, enhancement in the risk of second solid tumors, particularly for long term survivors. The pattern of excess second malignancies among men treated with radiotherapy was consistent with radiobiologic principles in terms of site, dose, and latency. In absolute terms, the estimated risk of developing a radiation-associated second malignancy was 1 in 290 for all prostate carcinoma patients treated with radiotherapy, increasing to 1 in 70 for long term survivors (>/= 10 years). Improvements in radiotherapeutic techniques, along with diagnosis at younger ages and earlier stages, are resulting in longer survival times for patients with prostate carcinoma. Because of the long latency period for radiation-induced tumors, this may result in radiation-related second malignancy risk becoming a more significant issue. Copyright 2000 American Cancer Society.",2000,/,Cancer,88,2,398-406,,,10640974,#3298,Brenner 2000,,
Risk of second primary tumors in men diagnosed with prostate cancer: a population-based cohort study.,"Davis, Elizabeth J; Beebe-Dimmer, Jennifer L; Yee, Cecilia L; Cooney, Kathleen A","BACKGROUND: The survival of men diagnosed with prostate cancer has improved over time, and the current 10-year relative survival rate is 99.7%. The long survival of patients with this common cancer raises questions about the risk of a second primary cancer and the need for continued surveillance., METHODS: A population-based cohort of 441,504 men who were diagnosed with prostate cancer between 1992 and 2010 was identified from Surveillance, Epidemiology and End Results Program (SEER) data (SEER13). The standardized incidence ratio (SIR) was calculated as an estimate of the risk of a second primary malignancy based on the incidence in the general population., RESULTS: Prostate cancer survivors had a lower risk of being diagnosed with another cancer overall compared with the US population (SIR = 0.60; 95% confidence interval, 0.60-0.61). The risks of leukemia and cancers of the oral cavity and pharynx, esophagus, stomach, colon and rectum, liver, gallbladder, pancreas, lung and bronchus, and larynx were significantly lower. Conversely, these patients had a greater risk of bladder, kidney, and endocrine and soft tissue cancers. Men who received treatment with radiation therapy (external-beam radiation therapy) had long-term increases in their risk of bladder cancer (SIR = 1.42) and rectal cancer (SIR = 1.70) risk compared with who did not receive radiation (SIRbladder = 0.76; SIRrectal = 0.74). There were significant racial differences in the risk of being diagnosed with a second primary cancer, and the magnitude and direction of these risks depended on tumor type., CONCLUSIONS: Prostate cancer survivors remain at risk of subsequent malignancies, and race and treatment choice important determinants of long-term risk. Copyright © 2014 American Cancer Society.",2014,/,Cancer,120,17,2735-41,,https://dx.doi.org/10.1002/cncr.28769,24842808,#2764,Davis 2014,,
Prostate brachytherapy and second primary cancer risk: a competitive risk analysis.,"Hinnen, Karel A; Schaapveld, Michael; van Vulpen, Marco; Battermann, Jan J; van der Poel, Henk; van Oort, Inge M; van Roermund, Joep G H; Monninkhof, Evelyn M","PURPOSE: To assess the risk of second primary cancer (SPC) after [(125)I]iodine prostate cancer brachytherapy compared with prostatectomy and the general population., PATIENTS AND METHODS: In a cohort consisting of 1,888 patients with prostate cancer who received monotherapy with brachytherapy (n = 1,187; 63%) or prostatectomy (n = 701; 37%), SPC incidences were retrieved by linkage with the Dutch Cancer Registry. Standardized incidence rates (SIRs) and absolute excess risks (AERs) were calculated for comparison., RESULTS: A total of 223 patients were diagnosed with SPC, 136 (11%) after brachytherapy and 87 (12%) after prostatectomy, with a median follow-up of 7.5 years. The SIR for all malignancies, bladder cancer, and rectal cancer were 0.94 (95% CI, 0.78 to 1.12), 1.69 (95% CI, 0.98 to 2.70), and 0.90 (95% CI, 0.41 to 1.72) for brachytherapy and 1.04 (95% CI, 0.83 to 2.28), 1.82 (95% CI, 0.87 to 3.35), and 1.50 (95% CI, 0.68 to 2.85) for prostatectomy, respectively. Bladder SPC risk was significantly increased after brachytherapy for patients age 60 years or younger (SIR, 5.84; 95% CI, 2.14 to 12.71; AER, 24.03) and in the first 4 years of follow-up (SIR, 2.14; 95% CI, 1.03 to 3.94; AER, 12.24). Adjusted for age, the hazard ratio (brachytherapy v prostatectomy) for all SPCs combined was 0.87 (95% CI, 0.64 to 1.18)., CONCLUSION: Overall, we found no difference in SPC incidence between patients with prostate cancer treated with prostatectomy or brachytherapy. Furthermore, no increased tumor incidence was found compared with the general population. We observed a higher than expected incidence of bladder SPC after brachytherapy in the first 4 years of follow-up, probably resulting from lead time or screening bias. Because of power limitations, a small increased SPC risk cannot be formally excluded.",2011,/,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,29,34,10-May,,https://dx.doi.org/10.1200/JCO.2011.35.0991,22025166,#2902,Hinnen 2011,,
